Date,adj_close,Volume,log_ret,ret,entropy,entropy_norm,vol_rolling,low_entropy,signal,strategy_ret,bench_ret,strategy_ret_net
2008-04-04,4647.0,0,-0.02645984878895571,-0.02611285420114151,,,,0,0,-0.0,-0.02611285420114151,-0.0
2008-04-07,4761.2001953125,0,0.02427792823044179,0.02457503664998928,,,,0,0,0.0,0.02457503664998928,0.0
2008-04-08,4709.64990234375,0,-0.010886203780200618,-0.010827163499552594,,,,0,0,-0.0,-0.010827163499552594,-0.0
2008-04-09,4747.0498046875,0,0.007909756784843095,0.007941121552397679,,,,0,0,0.0,0.007941121552397679,0.0
2008-04-10,4733.0,0,-0.00296408041381469,-0.002959691864540037,,,,0,0,-0.0,-0.002959691864540037,-0.0
2008-04-11,4777.7998046875,0,0.009420897706035044,0.009465414047644227,,,,0,0,0.0,0.009465414047644227,0.0
2008-04-15,4879.64990234375,0,0.02109332733837611,0.02131736402105533,,,,0,0,0.0,0.02131736402105533,0.0
2008-04-16,4887.2998046875,0,0.0015664878263013712,0.001567715409270587,,,,0,0,0.0,0.001567715409270587,0.0
2008-04-17,4958.39990234375,0,0.014443124561409898,0.014547930451914715,,,,0,0,0.0,0.014547930451914715,0.0
2008-04-21,5037.0,0,0.015727578407280188,0.01585190771302991,,,,0,0,0.0,0.01585190771302991,0.0
2008-04-22,5049.2998046875,0,0.0024389143734745633,0.0024418909445105275,,,,0,0,0.0,0.0024418909445105275,0.0
2008-04-23,5022.7998046875,0,-0.005262072889500719,-0.00524825243599103,,,,0,0,-0.0,-0.00524825243599103,-0.0
2008-04-24,4999.85009765625,0,-0.0045795767315603185,-0.00456910645927644,,,,0,0,-0.0,-0.00456910645927644,-0.0
2008-04-25,5111.7001953125,0,0.02212413660015115,0.02237069021502891,,,,0,0,0.0,0.02237069021502891,0.0
2008-04-28,5089.64990234375,0,-0.004323021384082487,-0.004313690577739782,,,,0,0,-0.0,-0.004313690577739782,-0.0
2008-04-29,5195.5,0,0.0205838195785686,0.020797127442401697,,,,0,0,0.0,0.020797127442401697,0.0
2008-04-30,5165.89990234375,0,-0.005713548064716786,-0.005697256790732408,,,,0,0,-0.0,-0.005697256790732408,-0.0
2008-05-02,5228.2001953125,0,0.011987769688960374,0.01205991098288317,,,,0,0,0.0,0.01205991098288317,0.0
2008-05-05,5192.25,0,-0.00689995869070044,-0.006876208631936498,,,,0,0,-0.0,-0.006876208631936498,-0.0
2008-05-06,5144.64990234375,0,-0.0092098084650326,-0.009167528076700848,,,,0,0,-0.0,-0.009167528076700848,-0.0
2008-05-07,5135.5,0,-0.0017801111553528285,-0.0017785276972066555,,,,0,0,-0.0,-0.0017785276972066555,-0.0
2008-05-08,5081.7001953125,0,-0.010531319910933291,-0.01047605971911203,,,,0,0,-0.0,-0.01047605971911203,-0.0
2008-05-09,4982.60009765625,0,-0.019694026964064176,-0.019501366441818546,,,,0,0,-0.0,-0.019501366441818546,-0.0
2008-05-12,5012.64990234375,0,0.006012835141285264,0.006030948520559631,,,,0,0,0.0,0.006030948520559631,0.0
2008-05-13,4957.7998046875,0,-0.01100264333194762,-0.01094233563580893,,,,0,0,-0.0,-0.01094233563580893,-0.0
2008-05-14,5011.75,0,0.010823100944386392,0.010881882576519342,1.584962500721156,1.0,0.40475108030346824,0,0,0.0,0.010881882576519342,0.0
2008-05-15,5115.25,0,0.020441118562082982,0.020651469047737736,1.584962500721156,1.0,0.40632155476287307,0,0,0.0,0.020651469047737736,0.0
2008-05-16,5157.7001953125,0,0.008264507492955415,0.008298752810224297,1.584962500721156,1.0,0.40667953232560106,0,0,0.0,0.008298752810224297,0.0
2008-05-20,5104.9501953125,0,-0.010280086048683846,-0.010227426566581155,1.584962500721156,1.0,0.4058393525543117,0,0,-0.0,-0.010227426566581155,-0.0
2008-05-21,5117.64990234375,0,0.0024846347197979898,0.002487723982676826,1.584962500721156,1.0,0.40588622826933723,0,0,0.0,0.002487723982676826,0.0
2008-05-22,5025.4501953125,0,-0.018180289189540084,-0.018016024697004918,1.584962500721156,1.0,0.40670635529912025,0,0,-0.0,-0.018016024697004918,-0.0
2008-05-23,4946.5498046875,0,-0.01582471663631613,-0.015700163678588397,1.584962500721156,1.0,0.40731801113022004,0,0,-0.0,-0.015700163678588397,-0.0
2008-05-26,4875.0498046875,0,-0.014560003658967207,-0.014454519376767339,1.584962500721156,1.0,0.4069352237777985,0,0,-0.0,-0.014454519376767339,-0.0
2008-05-27,4859.7998046875,0,-0.0031330761309393933,-0.0031281731697051507,1.584962500721156,1.0,0.40661300816469875,0,0,-0.0,-0.0031281731697051507,-0.0
